hostgene_chrom,hostgene_TxStarts,hostgene_TxEnds,hostgene_cdsStart,hostgene_cdsEnd,hostgene_strand,hostgene_Name,hostgene_NCBI_ID,miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_name,miR_strand,gene_type,pre_mRNA_length
chr3,84958988,85995014,84959607,85993124,+,CADM2,XM_047447872.1,chr3,85385710,85385792,miRNA_primary_transcript,hsa-mir-5688,+,protein-coding gene,1036026.0
chr3,160399649,160434953,160401991,160433809,+,SMC4,XM_011512312.3,chr3,160404588,160404685,miRNA_primary_transcript,hsa-mir-15b,+,protein-coding gene,35304.0
chr3,160399649,160434953,160401991,160433809,+,SMC4,XM_011512312.3,chr3,160404745,160404825,miRNA_primary_transcript,hsa-mir-16-2,+,protein-coding gene,35304.0
chr3,168249521,168830599,168830599,168830599,+,EGFEM1P,NR_021485.2,chr3,168551854,168551949,miRNA_primary_transcript,hsa-mir-551b,+,non-coding gene,581078.0
chr3,174440981,175810548,175096797,175803203,+,NAALADL2,XM_017006080.3,chr3,175369540,175369621,miRNA_primary_transcript,hsa-mir-4789,+,protein-coding gene,1369567.0
chr3,188153020,188890671,188406120,188874479,+,LPP,NM_001387672.1,chr3,188688781,188688866,miRNA_primary_transcript,hsa-mir-28,+,protein-coding gene,737651.0
chr3,189596745,189897276,189597182,189894502,+,TP63,NM_001329964.2,chr3,189829922,189830009,miRNA_primary_transcript,hsa-mir-944,+,protein-coding gene,300531.0
chr3,197042559,197297481,197044622,197297204,-,DLG1,XM_017005802.2,chr3,197293878,197293948,miRNA_primary_transcript,hsa-mir-4797,-,protein-coding gene,254922.0
chr3,15450132,15498872,15451643,15498587,-,COLQ,NM_080538.2,chr3,15496239,15496308,miRNA_primary_transcript,hsa-mir-4270,-,protein-coding gene,48740.0
chr3,20040445,20154404,20040477,20152337,+,KAT2B,XM_005265528.5,chr3,20137565,20137641,miRNA_primary_transcript,hsa-mir-3135a,+,protein-coding gene,113959.0
chr3,37861879,37984469,37862199,37981891,+,CTDSPL,XM_047447182.1,chr3,37969404,37969480,miRNA_primary_transcript,hsa-mir-26a-1,+,protein-coding gene,122590.0
chr3,47803137,47850193,47810683,47850120,+,DHX30,XM_006713033.2,chr3,47849555,47849629,miRNA_primary_transcript,hsa-mir-1226,+,protein-coding gene,47056.0
chr3,49015487,49021505,49015587,49018564,-,DALRD3,XM_047448436.1,chr3,49020148,49020234,miRNA_primary_transcript,hsa-mir-425,-,protein-coding gene,6018.0
chr3,49015487,49021505,49015587,49018564,-,DALRD3,XM_047448436.1,chr3,49020618,49020709,miRNA_primary_transcript,hsa-mir-191,-,protein-coding gene,6018.0
chr3,99828810,100114501,99830413,99931020,-,FILIP1L,NM_001387850.1,chr3,99964314,99964398,miRNA_primary_transcript,hsa-mir-3921,-,protein-coding gene,285691.0
chr3,113286929,113441493,113291556,113433664,-,CFAP44,NM_001164496.2,chr3,113432118,113432200,miRNA_primary_transcript,hsa-mir-8076,-,protein-coding gene,154564.0
chr3,114314499,114745982,114339004,114351858,-,ZBTB20,NM_001393395.1,chr3,114743445,114743525,miRNA_primary_transcript,hsa-mir-4796,-,protein-coding gene,431483.0
chr3,119821320,120094447,119826787,120093434,-,GSK3B,NM_002093.4,chr3,120084564,120084648,miRNA_primary_transcript,hsa-mir-6529,-,protein-coding gene,273127.0
chr3,120908204,121260514,120909578,121260025,+,STXBP5L,XM_011513333.4,chr3,121049640,121049715,miRNA_primary_transcript,hsa-mir-5682,+,protein-coding gene,352310.0
chr3,123067024,123162104,123067164,123161960,+,PDIA5,NM_006810.4,chr3,123161794,123161879,miRNA_primary_transcript,hsa-mir-7110,+,protein-coding gene,95080.0
chr3,124033368,124491352,124033740,124491268,+,KALRN,XM_047449165.1,chr3,124132929,124133025,miRNA_primary_transcript,hsa-mir-5002,+,protein-coding gene,457984.0
chr3,124033368,124491352,124033740,124491268,+,KALRN,XM_047449165.1,chr3,124374332,124374437,miRNA_primary_transcript,hsa-mir-6083,+,protein-coding gene,457984.0
chr3,125082643,125211399,125083889,125211349,-,SLC12A8,NM_001195483.2,chr3,125151465,125151552,miRNA_primary_transcript,hsa-mir-5092,-,protein-coding gene,128756.0
chr3,131533568,132035014,131535194,131963708,-,CPNE4,XM_047447422.1,chr3,131985855,131985931,miRNA_primary_transcript,hsa-mir-5704,-,protein-coding gene,501446.0
chr3,151436202,151619925,151436688,151458709,-,IGSF10,XM_011512709.3,chr3,151565876,151565995,miRNA_primary_transcript,hsa-mir-5186,-,protein-coding gene,183723.0
chr3,164028193,164197552,164197552,164197552,-,LOC102724419,XR_001740997.2,chr3,164171471,164171556,miRNA_primary_transcript,hsa-mir-1263,-,non-coding gene,169359.0
chr3,171058413,171460405,171063880,171460063,-,TNIK,NM_015028.4,chr3,171106664,171106759,miRNA_primary_transcript,hsa-mir-569,-,protein-coding gene,401992.0
chr3,185190623,185254049,185192225,185235352,-,EHHADH,NM_001166415.2,chr3,185253210,185253272,miRNA_primary_transcript,hsa-mir-5588,-,protein-coding gene,63426.0
chr3,185643129,185821142,185645530,185821061,-,IGF2BP2,NM_001291872.3,chr3,185767847,185767904,miRNA_primary_transcript,hsa-mir-548aq,-,protein-coding gene,178013.0
chr3,195068283,195175853,195069714,195175673,-,XXYLT1,NM_001410854.1,chr3,195134506,195134580,miRNA_primary_transcript,hsa-mir-3137,-,protein-coding gene,107570.0
chr3,195688497,195711875,195711875,195711875,+,MIR570HG,NR_122105.1,chr3,195699401,195699497,miRNA_primary_transcript,hsa-mir-570,+,non-coding gene,23378.0
chr3,15860113,15972775,15972775,15972775,+,LOC107986064,XR_007095831.1,chr3,15873771,15873849,miRNA_primary_transcript,hsa-mir-563,+,non-coding gene,112662.0
chr3,39107679,39138900,39107837,39138788,+,TTC21A,NM_001105513.3,chr3,39138206,39138266,miRNA_primary_transcript,hsa-mir-6822,+,protein-coding gene,31221.0
chr3,48306841,48333661,48306991,48328341,-,SPINK8,NM_001080525.3,chr3,48316360,48316459,miRNA_primary_transcript,hsa-mir-2115,-,protein-coding gene,26820.0
chr3,48517683,48554009,48519746,48550229,-,PFKFB4,XM_024453595.2,chr3,48549961,48550021,miRNA_primary_transcript,hsa-mir-6823,-,protein-coding gene,36326.0
chr3,49095931,49104757,49096028,49104733,-,QARS1,NM_005051.3,chr3,49099854,49099914,miRNA_primary_transcript,hsa-mir-6890,-,protein-coding gene,8826.0
chr3,50227067,50259362,50227123,50257690,+,GNAI2,NM_001282620.2,chr3,50227436,50227490,miRNA_primary_transcript,hsa-mir-5787,+,protein-coding gene,32295.0
chr3,52254433,52278649,52257489,52278361,-,WDR82,NM_025222.4,chr3,52268278,52268361,miRNA_primary_transcript,hsa-let-7g,-,protein-coding gene,24216.0
chr3,52833120,52897548,52833323,52897450,-,STIMATE-MUSTN1,NM_001198974.3,chr3,52846463,52846552,miRNA_primary_transcript,hsa-mir-8064,-,protein-coding gene,64428.0
chr3,69019826,69052333,69023176,69052086,-,TMF1,NM_001363879.1,chr3,69048958,69049035,miRNA_primary_transcript,hsa-mir-3136,-,protein-coding gene,32507.0
chr3,112086388,112118210,112086407,112116998,+,C3orf52,NM_001171747.2,chr3,112112801,112112898,miRNA_primary_transcript,hsa-mir-567,+,protein-coding gene,31822.0
chr3,113532554,113611098,113533021,113608516,+,SIDT1,XM_047448387.1,chr3,113594876,113594942,miRNA_primary_transcript,hsa-mir-4446,+,protein-coding gene,78544.0
chr3,124730451,124749273,124730471,124744084,+,UMPS,NM_000373.4,chr3,124732439,124732516,miRNA_primary_transcript,hsa-mir-544b,+,protein-coding gene,18822.0
chr3,127571231,127590733,127573520,127580146,-,TPRA1,NM_001353001.2,chr3,127575266,127575331,miRNA_primary_transcript,hsa-mir-6825,-,protein-coding gene,19502.0
chr3,127571231,127590733,127573520,127580146,-,TPRA1,NM_001353001.2,chr3,127587111,127587176,miRNA_primary_transcript,hsa-mir-7976,-,protein-coding gene,19502.0
chr3,129249605,129277773,129249709,129277424,+,COPG1,NM_016128.4,chr3,129272146,129272243,miRNA_primary_transcript,hsa-mir-6826,+,protein-coding gene,28168.0
chr3,134355344,134375417,134357704,134375300,-,AMOTL2,NM_001278683.1,chr3,134367804,134367862,miRNA_primary_transcript,hsa-mir-6827,-,protein-coding gene,20073.0
chr3,170418867,170434691,170419066,170432756,+,CLDN11,NM_005602.6,chr3,170423103,170423162,miRNA_primary_transcript,hsa-mir-6828,+,protein-coding gene,15824.0
chr3,184229584,184242329,184230528,184242038,+,VWA5B2,NM_001390846.1,chr3,184241405,184241489,miRNA_primary_transcript,hsa-mir-1224,+,protein-coding gene,12745.0
chr3,195863363,195883243,195864180,195879120,-,TNK2,XM_047447164.1,chr3,195882329,195882395,miRNA_primary_transcript,hsa-mir-6829,-,protein-coding gene,19880.0
chr4,7192537,7738899,7192646,7737408,+,SORCS2,XM_017008481.2,chr4,7310450,7310524,miRNA_primary_transcript,hsa-mir-4798,+,protein-coding gene,546362.0
chr4,7192537,7738899,7192646,7737408,+,SORCS2,XM_017008481.2,chr4,7460028,7460118,miRNA_primary_transcript,hsa-mir-4274,+,protein-coding gene,546362.0
chr4,20728605,21544690,20730081,20850644,-,KCNIP4,NM_001035004.2,chr4,21464700,21464758,miRNA_primary_transcript,hsa-mir-7978,-,protein-coding gene,816085.0
chr4,76435228,76783253,76436052,76779177,+,SHROOM3,NM_020859.4,chr4,76573568,76573632,miRNA_primary_transcript,hsa-mir-4450,+,protein-coding gene,348025.0
chr4,76435228,76783253,76436052,76779177,+,SHROOM3,NM_020859.4,chr4,76575551,76575626,miRNA_primary_transcript,hsa-mir-548ah,+,protein-coding gene,348025.0
chr4,112705621,113383736,112706145,113381471,+,ANK2,NM_001386187.2,chr4,113106863,113106955,miRNA_primary_transcript,hsa-mir-1243,+,protein-coding gene,678115.0
chr4,112705621,113383736,112706145,113381471,+,ANK2,NM_001386187.2,chr4,113152282,113152362,miRNA_primary_transcript,hsa-mir-8082,+,protein-coding gene,678115.0
chr4,147732087,148072776,147732301,148072081,+,ARHGAP10,XM_005263215.4,chr4,147782595,147782668,miRNA_primary_transcript,hsa-mir-4799,+,protein-coding gene,340689.0
chr4,181447612,182803024,182324020,182800351,+,TENM3,XM_047415944.1,chr4,182169293,182169378,miRNA_primary_transcript,hsa-mir-1305,+,protein-coding gene,1355412.0
chr4,5897586,6018546,5959374,6018431,-,C4orf50,XM_047415664.1,chr4,5923275,5923328,miRNA_primary_transcript,hsa-mir-378d-1,-,protein-coding gene,120960.0
chr4,7965326,8071988,7966989,8061000,-,ABLIM2,NM_001286688.2,chr4,8005301,8005381,miRNA_primary_transcript,hsa-mir-95,-,protein-coding gene,106662.0
chr4,10074338,10116799,10075377,10116666,-,WDR1,XM_017008880.3,chr4,10078611,10078692,miRNA_primary_transcript,hsa-mir-3138,-,protein-coding gene,42461.0
chr4,20251904,20620561,20253815,20619009,+,SLIT2,NM_001289136.3,chr4,20528275,20528384,miRNA_primary_transcript,hsa-mir-218-1,+,protein-coding gene,368657.0
chr4,40423279,40514581,40425903,40438893,-,RBM47,NM_001371113.1,chr4,40502040,40502119,miRNA_primary_transcript,hsa-mir-4802,-,protein-coding gene,91302.0
chr4,82629538,82798796,82631326,82798537,-,SCD5,NM_001037582.3,chr4,82753337,82753430,miRNA_primary_transcript,hsa-mir-575,-,protein-coding gene,169258.0
chr4,86010404,86594074,86017227,86593945,-,MAPK10,XM_047415964.1,chr4,86542482,86542552,miRNA_primary_transcript,hsa-mir-4452,-,protein-coding gene,583670.0
chr4,101023417,101347526,101025864,101346796,-,PPP3CA,NM_000944.5,chr4,101240795,101240872,miRNA_primary_transcript,hsa-mir-8066,-,protein-coding gene,324109.0
chr4,101023417,101347526,101025864,101346796,-,PPP3CA,NM_000944.5,chr4,101330302,101330414,miRNA_primary_transcript,hsa-mir-1255a,-,protein-coding gene,324109.0
chr4,109433814,109540896,109433869,109539675,+,SEC24B,XM_047449519.1,chr4,109488698,109488795,miRNA_primary_transcript,hsa-mir-576,+,protein-coding gene,107082.0
chr4,143336875,143474565,143337188,143469189,+,GAB1,NM_002039.4,chr4,143343460,143343535,miRNA_primary_transcript,hsa-mir-3139,+,protein-coding gene,137690.0
chr4,152320543,152535033,152322880,152411803,-,FBXW7,XM_047415898.1,chr4,152489327,152489416,miRNA_primary_transcript,hsa-mir-3140,-,protein-coding gene,214490.0
chr4,159103078,159360173,159104162,159358139,+,RAPGEF2,NM_001394067.2,chr4,159128805,159128891,miRNA_primary_transcript,hsa-mir-3688-2,+,protein-coding gene,257095.0
chr4,165379007,165498547,165379221,165497610,+,CPE,NM_001873.4,chr4,165386242,165386337,miRNA_primary_transcript,hsa-mir-578,+,protein-coding gene,119540.0
chr4,337813,361231,337983,358425,+,ZNF141,NM_001348279.2,chr4,350157,350252,miRNA_primary_transcript,hsa-mir-571,+,protein-coding gene,23418.0
chr4,11722459,11789866,11789866,11789866,+,LOC107986178,NR_188485.1,chr4,11783178,11783248,miRNA_primary_transcript,hsa-mir-12113,+,non-coding gene,67407.0
chr4,39406929,39451533,39406949,39448686,+,KLB,NM_175737.4,chr4,39411910,39411974,miRNA_primary_transcript,hsa-mir-5591,+,protein-coding gene,44604.0
chr4,52712393,52714138,52714138,52714138,+,DANCR,NR_024031.2,chr4,52712682,52712747,miRNA_primary_transcript,hsa-mir-4449,+,non-coding gene,1745.0
chr4,98995720,99062809,98995753,99061317,+,METAP1,XM_011531779.3,chr4,98997387,98997460,miRNA_primary_transcript,hsa-mir-3684,+,protein-coding gene,67089.0
chr4,112646719,112648703,112648703,112648703,-,MIR302CHG,NR_146093.1,chr4,112647874,112647941,miRNA_primary_transcript,hsa-mir-367,-,non-coding gene,1984.0
chr4,112646719,112648703,112648703,112648703,-,MIR302CHG,NR_146093.1,chr4,112648004,112648071,miRNA_primary_transcript,hsa-mir-302d,-,non-coding gene,1984.0
chr4,112646719,112648703,112648703,112648703,-,MIR302CHG,NR_146093.1,chr4,112648183,112648251,miRNA_primary_transcript,hsa-mir-302a,-,non-coding gene,1984.0
chr4,112646719,112648703,112648703,112648703,-,MIR302CHG,NR_146093.1,chr4,112648363,112648430,miRNA_primary_transcript,hsa-mir-302c,-,non-coding gene,1984.0
chr4,114598401,114678225,114622880,114676288,+,UGT8,NM_001322112.2,chr4,114656759,114656854,miRNA_primary_transcript,hsa-mir-577,+,protein-coding gene,79824.0
chr4,184843295,184855652,184855652,184855652,-,MIR3945HG,NR_132989.1,chr4,184851013,184851110,miRNA_primary_transcript,hsa-mir-3945,-,non-coding gene,12357.0
chr5,166979028,168264157,167284837,168262810,+,TENM2,XM_047417419.1,chr5,168165845,168165929,miRNA_primary_transcript,hsa-mir-12125,+,protein-coding gene,1285129.0
chr5,9035032,9546075,9042896,9379946,-,SEMA5A,XM_047417866.1,chr5,9053816,9053895,miRNA_primary_transcript,hsa-mir-4636,-,protein-coding gene,511043.0
chr5,15500179,15939793,15500676,15937186,+,FBXL7,NM_012304.5,chr5,15935182,15935260,miRNA_primary_transcript,hsa-mir-887,+,protein-coding gene,439614.0
chr5,58969037,59768848,58974663,59038873,-,PDE4D,NM_001364603.1,chr5,59703606,59703703,miRNA_primary_transcript,hsa-mir-582,-,protein-coding gene,799811.0
chr5,95961428,96774683,96722677,96771679,+,CAST,NM_001423255.1,chr5,96079138,96079212,miRNA_primary_transcript,hsa-mir-583,+,protein-coding gene,813255.0
chr5,168661739,169272699,168666453,169272687,-,SLIT3,XM_017009779.1,chr5,168768146,168768255,miRNA_primary_transcript,hsa-mir-218-2,-,protein-coding gene,610960.0
chr5,168661739,169272699,168666453,169272687,-,SLIT3,XM_017009779.1,chr5,169263601,169263694,miRNA_primary_transcript,hsa-mir-585,-,protein-coding gene,610960.0
chr5,169637274,170083382,169637326,170082858,+,DOCK2,NM_004946.3,chr5,170028488,170028566,miRNA_primary_transcript,hsa-mir-378e,+,protein-coding gene,446108.0
chr5,14704799,14871778,14711196,14871447,-,ANKH,NM_054027.6,chr5,14825929,14826012,miRNA_primary_transcript,hsa-mir-4637,-,protein-coding gene,166979.0
chr5,17130027,17217422,17217422,17217422,-,BASP1-AS1,NR_027253.1,chr5,17155930,17155992,miRNA_primary_transcript,hsa-mir-10522,-,non-coding gene,87395.0
chr5,32354349,32444740,32355759,32444658,-,ZFR,NM_016107.5,chr5,32394378,32394475,miRNA_primary_transcript,hsa-mir-579,-,protein-coding gene,90391.0
chr5,53883941,54310447,53886560,54310409,-,ARL15,XM_011543498.3,chr5,53951504,53951599,miRNA_primary_transcript,hsa-mir-581,-,protein-coding gene,426506.0
chr5,55424853,55534964,55425205,55534629,-,PLPP1,NM_176895.3,chr5,55508850,55508926,miRNA_primary_transcript,hsa-mir-5687,-,protein-coding gene,110111.0
chr5,72816660,72905580,72816737,72905410,+,TNPO1,XM_047417167.1,chr5,72878591,72878663,miRNA_primary_transcript,hsa-mir-4804,+,protein-coding gene,88920.0
chr5,110387430,110738954,110738954,110738954,-,TMEM232,XR_001742182.2,chr5,110513829,110513915,miRNA_primary_transcript,hsa-mir-548f-3,-,non-coding gene,351524.0
chr5,116085024,116293287,116085052,116292489,+,COMMD10,NM_016144.4,chr5,116255743,116255834,miRNA_primary_transcript,hsa-mir-12130,+,protein-coding gene,208263.0
chr5,119071026,119249127,119098089,119247219,+,DMXL1,XM_017009145.2,chr5,119154637,119154716,miRNA_primary_transcript,hsa-mir-5706,+,protein-coding gene,178101.0
chr5,129094748,129114028,129094766,129113001,+,ISOC1,NM_016048.2,chr5,129097688,129097766,miRNA_primary_transcript,hsa-mir-4633,+,protein-coding gene,19280.0
chr5,133196454,133612541,133199094,133603983,-,FSTL4,NM_015082.2,chr5,133427596,133427706,miRNA_primary_transcript,hsa-mir-1289-2,-,protein-coding gene,416087.0
chr5,137617499,137706436,137622097,137698403,-,KLHL3,NM_001257195.2,chr5,137647572,137647649,miRNA_primary_transcript,hsa-mir-874,-,protein-coding gene,88937.0
chr5,148982149,149063062,149004710,149063022,-,SH3TC2,NM_024577.4,chr5,149062313,149062409,miRNA_primary_transcript,hsa-mir-584,-,protein-coding gene,80913.0
chr5,149406844,149432836,149432836,149432836,+,CARMN,NR_105060.1,chr5,149430646,149430733,miRNA_primary_transcript,hsa-mir-145,+,non-coding gene,25992.0
chr5,149730309,149836348,149730342,149835341,+,PPARGC1B,XM_011537557.2,chr5,149732825,149732890,miRNA_primary_transcript,hsa-mir-378a,+,protein-coding gene,106039.0
chr5,151504091,151589626,151505564,151568931,-,FAT2,XM_011537603.2,chr5,151522087,151522148,miRNA_primary_transcript,hsa-mir-6499,-,protein-coding gene,85535.0
chr5,154190732,154420984,154190866,154416972,+,GALNT10,NM_198321.4,chr5,154347106,154347247,miRNA_primary_transcript,hsa-mir-1294,+,protein-coding gene,230252.0
chr5,154682978,154817605,154792672,154814096,+,LARP1,NM_001367715.1,chr5,154685776,154685861,miRNA_primary_transcript,hsa-mir-1303,+,protein-coding gene,134627.0
chr5,168548494,168579368,168557570,168579283,-,PANK3,NM_024594.4,chr5,168560896,168560973,miRNA_primary_transcript,hsa-mir-103a-1,-,protein-coding gene,30874.0
chr5,172834250,172922302,172834413,172922103,+,ERGIC1,XM_047417412.1,chr5,172915083,172915158,miRNA_primary_transcript,hsa-mir-10523,+,protein-coding gene,88052.0
chr5,179911650,180071759,179920316,180071702,-,RNF130,NM_001410829.1,chr5,180015303,180015397,miRNA_primary_transcript,hsa-mir-340,-,protein-coding gene,160109.0
chr5,1050383,1104710,1052359,1103913,-,SLC12A7,XM_011513940.3,chr5,1062896,1062974,miRNA_primary_transcript,hsa-mir-4635,-,protein-coding gene,54327.0
chr5,1461426,1518691,1463650,1501594,-,LPCAT1,XM_047417763.1,chr5,1510762,1510856,miRNA_primary_transcript,hsa-mir-6075,-,protein-coding gene,57265.0
chr5,1704197,1725384,1725384,1725384,-,LOC105374614,XR_925684.3,chr5,1708785,1708868,miRNA_primary_transcript,hsa-mir-4277,-,non-coding gene,21187.0
chr5,10441878,10482303,10442167,10482007,+,ROPN1L,XM_006714504.4,chr5,10478037,10478145,miRNA_primary_transcript,hsa-mir-6131,+,protein-coding gene,40425.0
chr5,36098406,36151887,36104045,36143349,-,LMBRD2,XM_011514162.3,chr5,36147892,36147988,miRNA_primary_transcript,hsa-mir-580,-,protein-coding gene,53481.0
chr5,55112970,55173177,55114217,55173000,-,CDC20B,NM_001170402.1,chr5,55170532,55170622,miRNA_primary_transcript,hsa-mir-449a,-,protein-coding gene,60207.0
chr5,55112970,55173177,55114217,55173000,-,CDC20B,NM_001170402.1,chr5,55170646,55170742,miRNA_primary_transcript,hsa-mir-449b,-,protein-coding gene,60207.0
chr5,55112970,55173177,55114217,55173000,-,CDC20B,NM_001170402.1,chr5,55172262,55172353,miRNA_primary_transcript,hsa-mir-449c,-,protein-coding gene,60207.0
chr5,72107474,72209565,72107531,72205239,+,MAP1B,NM_005909.5,chr5,72169467,72169540,miRNA_primary_transcript,hsa-mir-4803,+,protein-coding gene,102091.0
chr5,87048905,87122195,87122195,87122195,-,MIR4280HG,NR_186582.1,chr5,87114879,87114954,miRNA_primary_transcript,hsa-mir-4280,-,non-coding gene,73290.0
chr5,100806932,100903282,100811846,100902955,-,ST8SIA4,NM_005668.6,chr5,100816482,100816565,miRNA_primary_transcript,hsa-mir-548p,-,protein-coding gene,96350.0
chr5,132190146,132227091,132193009,132218626,-,P4HA2,NM_004199.3,chr5,132217849,132217918,miRNA_primary_transcript,hsa-mir-6830,-,protein-coding gene,36945.0
chr5,132311275,132369916,132369916,132369916,-,MIR3936HG,NR_110997.1,chr5,132365490,132365599,miRNA_primary_transcript,hsa-mir-3936,-,non-coding gene,58641.0
chr5,140558267,140564598,140558584,140564245,-,APBB3,NM_006051.4,chr5,140563671,140563751,miRNA_primary_transcript,hsa-mir-6831,-,protein-coding gene,6331.0
chr5,160468250,160487426,160487426,160487426,+,MIR3142HG,NR_132748.1,chr5,160474402,160474483,miRNA_primary_transcript,hsa-mir-3142,+,non-coding gene,19176.0
chr5,172641262,172691540,172641406,172686925,+,NEURL1B,NM_001308177.2,chr5,172662165,172662263,miRNA_primary_transcript,hsa-mir-5003,+,protein-coding gene,50278.0
chr5,176365486,176369956,176365563,176369252,+,ARL10,NM_001317948.2,chr5,176367946,176368031,miRNA_primary_transcript,hsa-mir-1271,+,protein-coding gene,4470.0
chr5,176620081,176630534,176620810,176629654,-,SNCB,NM_001001502.3,chr5,176629439,176629500,miRNA_primary_transcript,hsa-mir-4281,-,protein-coding gene,10453.0
chr5,179797596,179802875,179798044,179802111,-,MGAT4B,NM_054013.3,chr5,179798278,179798346,miRNA_primary_transcript,hsa-mir-1229,-,protein-coding gene,5279.0
chr6,5031752,5260950,5034580,5260733,-,LYRM4,XM_017011084.3,chr6,5148233,5148322,miRNA_primary_transcript,hsa-mir-3691,-,protein-coding gene,229198.0
chr6,6144083,6320662,6145618,6318664,-,F13A1,NM_000129.4,chr6,6169304,6169435,miRNA_primary_transcript,hsa-mir-7853,-,protein-coding gene,176579.0
chr6,35573589,35688915,35575834,35642824,-,FKBP5,NM_001145776.2,chr6,35664717,35664789,miRNA_primary_transcript,hsa-mir-5690,-,protein-coding gene,115326.0
chr6,43517088,44461400,43517109,44461379,+,POLR1C,NM_001318876.2,chr6,44435641,44435722,miRNA_primary_transcript,hsa-mir-4642,+,protein-coding gene,944312.0
chr6,44809056,45322967,45322967,45322967,-,SUPT3H,XR_926319.4,chr6,45197674,45197770,miRNA_primary_transcript,hsa-mir-586,-,non-coding gene,513911.0
chr6,166409363,166757906,166412761,166757577,-,RPS6KA2,XM_047419234.1,chr6,166509354,166509433,miRNA_primary_transcript,hsa-mir-1913,-,protein-coding gene,348543.0
chr6,18522746,18722898,18722898,18722898,+,MIR548A1HG,NR_149116.1,chr6,18571784,18571880,miRNA_primary_transcript,hsa-mir-548a-1,+,non-coding gene,200152.0
chr6,39048780,39091303,39048840,39086073,+,GLP1R,NM_002062.5,chr6,39074314,39074381,miRNA_primary_transcript,hsa-mir-9983,+,protein-coding gene,42523.0
chr6,41546380,41602384,41565760,41598936,+,FOXP4,NM_001405826.1,chr6,41598723,41598788,miRNA_primary_transcript,hsa-mir-4641,+,protein-coding gene,56004.0
chr6,57221539,57646850,57318445,57646158,+,PRIM2,XM_047418987.1,chr6,57390132,57390212,miRNA_primary_transcript,hsa-mir-548u,+,protein-coding gene,425311.0
chr6,90297238,90357592,90357592,90357592,+,LOC105377891,XR_007059677.1,chr6,90312742,90312833,miRNA_primary_transcript,hsa-mir-4464,+,non-coding gene,60354.0
chr6,118959762,119078664,118960102,119078299,-,FAM184A,NM_024581.6,chr6,119069047,119069143,miRNA_primary_transcript,hsa-mir-548b,-,protein-coding gene,118902.0
chr6,134960377,135054822,134965278,135002780,-,HBS1L,NM_001363686.2,chr6,134979338,134979432,miRNA_primary_transcript,hsa-mir-3662,-,protein-coding gene,94445.0
chr6,138422042,138545735,138424080,138545638,-,NHSL1,XM_011535972.3,chr6,138435213,138435294,miRNA_primary_transcript,hsa-mir-3145,-,protein-coding gene,123693.0
chr6,140538489,140763130,140763130,140763130,+,LOC105378027,XR_943073.4,chr6,140683814,140683883,miRNA_primary_transcript,hsa-mir-4465,+,non-coding gene,224641.0
chr6,157381189,157673938,157382021,157673122,+,ZDHHC14,NM_153746.2,chr6,157529132,157529200,miRNA_primary_transcript,hsa-mir-3692,+,protein-coding gene,292749.0
chr6,170290702,170407067,170291057,170404590,+,FAM120B,NM_001286379.2,chr6,170330761,170330844,miRNA_primary_transcript,hsa-mir-4644,+,protein-coding gene,116365.0
chr6,10434328,10456781,10456781,10456781,+,MIR5689HG,NR_132993.1,chr6,10439717,10439794,miRNA_primary_transcript,hsa-mir-5689,+,non-coding gene,22453.0
chr6,16129085,16148248,16143098,16146751,+,MYLIP,XM_005249033.4,chr6,16141556,16141624,miRNA_primary_transcript,hsa-mir-4639,+,protein-coding gene,19163.0
chr6,30571441,30591522,30571487,30590701,+,ABCF1,NM_001090.3,chr6,30584332,30584417,miRNA_primary_transcript,hsa-mir-877,+,protein-coding gene,20081.0
chr6,30880969,30900156,30888729,30899296,+,DDR1,NM_001387908.1,chr6,30890883,30890972,miRNA_primary_transcript,hsa-mir-4640,+,protein-coding gene,19187.0
chr6,31353874,31357179,31354482,31357158,-,HLA-B,NM_005514.8,chr6,31355224,31355316,miRNA_primary_transcript,hsa-mir-6891,-,protein-coding gene,3305.0
chr6,31620714,31637771,31622789,31637586,+,PRRC2A,XM_047419336.1,chr6,31633787,31633858,miRNA_primary_transcript,hsa-mir-6832,+,protein-coding gene,17057.0
chr6,31686954,31702958,31687211,31702768,-,ABHD16A,NM_001177515.2,chr6,31701029,31701091,miRNA_primary_transcript,hsa-mir-4646,-,protein-coding gene,16004.0
chr6,31952086,31958444,31952300,31956818,-,NELFE,XM_011514913.4,chr6,31956839,31956940,miRNA_primary_transcript,hsa-mir-1236,-,protein-coding gene,6358.0
chr6,32178404,32180793,32178511,32180326,+,RNF5,NM_006913.4,chr6,32179816,32179876,miRNA_primary_transcript,hsa-mir-6833,+,protein-coding gene,2389.0
chr6,33279107,33289239,33279275,33289170,-,WDR46,NM_005452.6,chr6,33287227,33287289,miRNA_primary_transcript,hsa-mir-6873,-,protein-coding gene,10132.0
chr6,33289196,33290934,33289856,33290845,+,PFDN6,XM_047418077.1,chr6,33290245,33290325,miRNA_primary_transcript,hsa-mir-6834,+,protein-coding gene,1738.0
chr6,33893128,33918200,33918200,33918200,+,LOC105375026,NR_187840.1,chr6,33899135,33899200,miRNA_primary_transcript,hsa-mir-7159,+,non-coding gene,25072.0
