miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_Name,miR_strand,miR_ID,type
chrX,66800530,66800607,miRNA_primary_transcript,Name=mmu-mir-880,-,Alias=MI0005473,no host mRNA miR
chrX,66801508,66801585,miRNA_primary_transcript,Name=mmu-mir-878,-,Alias=MI0005548,no host mRNA miR
chrX,66801944,66802021,miRNA_primary_transcript,Name=mmu-mir-881,-,Alias=MI0005474,no host mRNA miR
chrX,66810428,66810504,miRNA_primary_transcript,Name=mmu-mir-871,-,Alias=MI0005471,no host mRNA miR
chrX,66813951,66814025,miRNA_primary_transcript,Name=mmu-mir-470,-,Alias=MI0002405,no host mRNA miR
chrX,66822656,66822713,miRNA_primary_transcript,Name=mmu-mir-465d,-,Alias=MI0025028,no host mRNA miR
chrX,66825955,66826035,miRNA_primary_transcript,Name=mmu-mir-465c-1,-,Alias=MI0005500,no host mRNA miR
chrX,66829202,66829280,miRNA_primary_transcript,Name=mmu-mir-465b-1,-,Alias=MI0005498,no host mRNA miR
chrX,66832517,66832597,miRNA_primary_transcript,Name=mmu-mir-465c-2,-,Alias=MI0005501,no host mRNA miR
chrX,66835764,66835842,miRNA_primary_transcript,Name=mmu-mir-465b-2,-,Alias=MI0005499,no host mRNA miR
chrX,66839052,66839125,miRNA_primary_transcript,Name=mmu-mir-465a,-,Alias=MI0002400,no host mRNA miR
chrX,67988096,67988161,miRNA_primary_transcript,Name=mmu-mir-201,-,Alias=MI0000244,no host mRNA miR
chrX,67988374,67988451,miRNA_primary_transcript,Name=mmu-mir-547,-,Alias=MI0003523,no host mRNA miR
chrX,68010105,68010179,miRNA_primary_transcript,Name=mmu-mir-509,-,Alias=MI0005516,no host mRNA miR
chrX,88759474,88759553,miRNA_primary_transcript,Name=mmu-mir-1906-2,-,Alias=MI0015984,no host mRNA miR
chrX,105344282,105344369,miRNA_primary_transcript,Name=mmu-mir-384,-,Alias=MI0001146,no host mRNA miR
chrX,106309826,106309935,miRNA_primary_transcript,Name=mmu-mir-6382,+,Alias=MI0021913,no host mRNA miR
chrX,136183245,136183360,miRNA_primary_transcript,Name=mmu-mir-6383,+,Alias=MI0021914,no host mRNA miR
chrX,144297790,144297899,miRNA_primary_transcript,Name=mmu-mir-680-2,+,Alias=MI0004641,no host mRNA miR
